month,day,hour,usage
4,21,2,0.8638833333333334
4,21,3,0.5902500000000004
4,21,4,0.38474999999999987
4,21,5,0.2385499999999999
4,21,6,0.24029999999999999
4,21,7,0.4104666666666667
4,21,8,0.2595000000000001
4,21,9,0.2174333333333334
4,21,10,0.26626666666666676
4,21,11,0.23676666666666657
4,21,12,0.35396666666666676
4,21,13,0.5770666666666667
4,21,14,0.7884166666666668
4,21,15,0.9447833333333334
4,21,16,1.0419
4,21,17,1.0839333333333334
4,21,18,2.0758666666666667
4,21,19,3.4549499999999993
4,21,20,2.568833333333333
4,21,21,1.6411000000000004
4,21,22,1.3963666666666665
4,21,23,1.1268166666666668
4,22,0,0.4534333333333334
4,22,1,0.23801666666666665
4,22,2,0.2694666666666666
4,22,3,0.24226666666666669
4,22,4,0.8207333333333333
4,22,5,1.5394166666666678
4,22,6,0.24246666666666672
4,22,7,0.28109999999999996
4,22,8,0.468283333333333
4,22,9,0.22864999999999996
4,22,10,0.27648333333333325
4,22,11,0.6817833333333332
4,22,12,0.7943000000000002
4,22,13,1.1377666666666666
4,22,14,1.1435333333333335
4,22,15,1.1399
4,22,16,2.0570166666666667
4,22,17,2.6773833333333337
4,22,18,2.3500999999999994
4,22,19,1.5239833333333337
4,22,20,1.5941500000000002
4,22,21,0.7361000000000002
4,22,22,0.9931333333333331
4,22,23,0.34951666666666675
4,23,0,0.8687000000000001
4,23,1,0.6431833333333331
4,23,2,0.6007500000000002
4,23,3,0.4601833333333333
4,23,4,0.2946666666666667
4,23,5,0.25284999999999996
4,23,6,0.2535833333333334
4,23,7,0.4583833333333332
4,23,8,0.26435000000000003
4,23,9,0.24793333333333328
4,23,10,0.5692166666666668
4,23,11,0.8173666666666666
4,23,12,1.0034000000000003
4,23,13,1.4147833333333328
4,23,14,1.6509500000000004
4,23,15,1.4511666666666667
4,23,16,1.3340999999999998
4,23,17,1.1292333333333333
4,23,18,1.5631833333333327
4,23,19,0.9787333333333332
4,23,20,1.3220166666666664
4,23,21,1.9747333333333335
4,23,22,1.937066666666666
4,23,23,2.11305
4,24,0,1.309366666666667
4,24,1,0.7822166666666661
4,24,2,0.49541666666666656
4,24,3,0.37538333333333335
4,24,4,0.3450000000000001
4,24,5,0.2281166666666667
4,24,6,0.25233333333333324
4,24,7,0.4330166666666667
4,24,8,0.5780833333333333
4,24,9,0.5111500000000002
4,24,10,0.43384999999999996
4,24,11,0.28598333333333326
4,24,12,0.5831333333333333
4,24,13,1.6054333333333328
4,24,14,1.4844333333333333
4,24,15,2.7154666666666674
4,24,16,2.6264333333333334
4,24,17,2.1198833333333327
4,24,18,2.4115666666666677
4,24,19,2.3961833333333327
4,24,20,1.86605
4,24,21,1.2581833333333337
4,24,22,1.0765500000000006
4,24,23,0.9247666666666666
4,25,0,0.8871999999999998
4,25,1,0.8954833333333336
4,25,2,0.8600499999999999
4,25,3,0.6999000000000003
4,25,4,1.616366666666667
4,25,5,1.7466166666666654
4,25,6,0.38575
4,25,7,0.56165
4,25,8,0.49925
4,25,9,0.4488499999999999
4,25,10,1.0087333333333335
4,25,11,3.092566666666666
4,25,12,3.5243333333333333
4,25,13,4.419633333333335
4,25,14,3.760499999999999
4,25,15,3.862733333333332
4,25,16,2.100316666666666
4,25,17,1.7662166666666665
4,25,18,1.9612499999999997
4,25,19,1.8198999999999996
4,25,20,3.8803666666666667
4,25,21,2.809733333333333
4,25,22,1.6540000000000004
4,25,23,1.5965000000000005
4,26,0,0.9766
4,26,1,0.9481666666666668
4,26,2,0.6058166666666668
4,26,3,0.5791166666666666
4,26,4,0.49156666666666676
4,26,5,0.47974999999999995
4,26,6,0.4925666666666668
4,26,7,0.4574833333333332
4,26,8,0.5263500000000001
4,26,9,0.5993333333333336
4,26,10,0.7593000000000002
4,26,11,0.9786166666666667
4,26,12,1.3729833333333334
4,26,13,3.6608666666666667
4,26,14,1.9296666666666666
4,26,15,1.9223833333333329
4,26,16,1.4336333333333335
4,26,17,1.5070499999999998
4,26,18,1.539716666666667
4,26,19,1.8435000000000001
4,26,20,1.13765
4,26,21,0.6007833333333334
4,26,22,0.4794666666666665
4,26,23,3.0364833333333325
4,27,0,2.137283333333334
4,27,1,1.0272999999999997
4,27,2,1.1279666666666661
4,27,3,0.9448666666666664
4,27,4,0.7457166666666665
4,27,5,0.8368166666666664
4,27,6,0.6435333333333332
4,27,7,0.7948999999999997
4,27,8,0.6352
4,27,9,0.8700499999999997
4,27,10,1.0208
4,27,11,1.472416666666667
4,27,12,2.134
4,27,13,2.6489333333333325
4,27,14,2.2697166666666666
4,27,15,3.1400166666666656
4,27,16,3.3140000000000005
4,27,17,3.0847000000000007
4,27,18,5.888000000000003
4,27,19,3.6921833333333325
4,27,20,2.050783333333334
4,27,21,3.0687333333333333
4,27,22,1.6874000000000002
4,27,23,1.221816666666667
4,28,0,0.9654833333333336
4,28,1,0.9060000000000004
4,28,2,0.6398833333333335
4,28,3,0.7361333333333334
4,28,4,0.5624000000000001
4,28,5,1.2575499999999997
4,28,6,0.4599333333333332
4,28,7,0.5220166666666668
4,28,8,0.5139
4,28,9,0.6923666666666665
4,28,10,1.0561999999999996
4,28,11,1.3924166666666664
4,28,12,1.7685500000000005
4,28,13,2.103133333333333
4,28,14,1.931583333333333
4,28,15,1.3836000000000008
4,28,16,0.37136666666666673
4,28,17,0.7616500000000005
4,28,18,1.1551833333333335
4,28,19,2.025366666666667
4,28,20,1.87905
4,28,21,1.7819999999999998
4,28,22,2.9706499999999996
4,28,23,1.9850833333333333
4,29,0,0.6603166666666668
4,29,1,0.5478666666666668
4,29,2,0.7670166666666666
4,29,3,0.6501000000000003
4,29,4,2.1275000000000004
4,29,5,1.6705833333333329
4,29,6,0.4325500000000001
4,29,7,0.5276166666666667
4,29,8,0.6978833333333331
4,29,9,0.5767666666666664
4,29,10,0.8397000000000001
4,29,11,0.9806666666666666
4,29,12,1.2379
4,29,13,1.484783333333333
4,29,14,0.9541166666666668
4,29,15,1.1556
4,29,16,1.0839333333333334
4,29,17,0.9413499999999997
4,29,18,1.1924666666666661
4,29,19,1.4613166666666673
4,29,20,1.8230166666666663
4,29,21,1.3564000000000007
4,29,22,0.8540999999999997
4,29,23,1.3965500000000002
4,30,0,0.5381833333333332
4,30,1,0.6039833333333332
